"KODE","NAMA_REK","TAHUN","SKT","PREFIX"
"410114310001",Pajak Tawas (Alum),2025,,
"41011432",Pajak Tras,2025,,
"410114320001",Pajak Tras,2025,,
"41011433",Pajak Yarosif,2025,,
"410114330001",Pajak Yarosif,2025,,
"41011434",Pajak Zeolit,2025,,
"410114340001",Pajak Zeolit,2025,,
"41011435",Pajak Basal,2025,,
"410114350001",Pajak Basal,2025,,
"41011436",Pajak Trakit,2025,,
"410114360001",Pajak Trakit,2025,,
"41011437",Pajak Mineral bukan Logam dan Batuan Lainnya,2025,,
"410114370001",Pajak Mineral bukan Logam dan Batuan Lainnya,2025,,
"410115",Pajak Bumi dan Bangunan Perdesaan dan Perkotaan (PBBP2),2025,,
"41011501",PBBP2,2025,,
"410115010001",PBBP2,2025,,
"410116",Bea Perolehan Hak Atas Tanah dan Bangunan (BPHTB),2025,,
"41011601",BPHTB-Pemindahan Hak,2025,,
"410116010001",BPHTB-Pemindahan Hak,2025,,
"41011602",BPHTB-Pemberian Hak Baru,2025,,
"410116020001",BPHTB-Pemberian Hak Baru,2025,,
"4102",Retribusi Daerah,2025,,
"410201",Retribusi Jasa Umum,2025,RJM,"101"
"41020101",Retribusi Pelayanan Kesehatan,2025,,
"410201010001",Retribusi Pelayanan Kesehatan di Puskesmas,2025,,
"410201010002",Retribusi Pelayanan Kesehatan di Puskesmas Keliling,2025,,
"410201010003",Retribusi Pelayanan Kesehatan di Puskesmas Pembantu,2025,,
"410201010004",Retribusi Pelayanan Kesehatan di Balai Pengobatan,2025,,
"410201010005",Retribusi Pelayanan Kesehatan di Rumah Sakit Umum Daerah,2025,,
"410201010006",Retribusi Pelayanan Kesehatan di Tempat Pelayanan Kesehatan Lainnya yang Sejenis,2025,,
"41020102",Retribusi Pelayanan Persampahan/ Kebersihan,2025,,
"410201020001",Retribusi Pelayanan Persampahan/ Kebersihan,2025,,
"41020103",Retribusi Pelayanan Pemakaman dan Pengabuan Mayat,2025,,
"410201030001",Retribusi Pelayanan Penguburan/Pemakaman termasuk Penggalian dan Pengurukan serta Pembakaran/Pengabuan Mayat,2025,,
"410201030002",Retribusi Sewa Tempat Pemakaman atau Pembakaran/Pengabuan Mayat,2025,,
"41020104",Retribusi Pelayanan Parkir di Tepi Jalan Umum,2025,,
"410201040001",Retribusi Penyediaan Pelayanan Parkir di Tepi Jalan Umum,2025,,
"41020105",Retribusi Pelayanan Pasar,2025,,
"410201050001",Retribusi Pelataran,2025,,
"410201050002",Retribusi Los,2025,,
"410201050003",Retribusi Kios,2025,,
"41020106",Retribusi Pengujian Kendaraan Bermotor,2025,,
"410201060001",Retribusi Pengujian Kendaraan Bermotor,2025,,
"41020107",Retribusi Pemeriksaan Alat Pemadam Kebakaran,2025,,
"410201070001",Retribusi Pelayanan Pemeriksaan dan/atau Pengujian Alat Pemadam Kebakaran,2025,,
"410201070002",Retribusi Pelayanan Pemeriksaan dan/atau Pengujian Alat Penanggulangan Kebakaran,2025,,
"410201070003",Retribusi Pelayanan Pemeriksaan dan/atau Pengujian Alat Penyelamatan Jiwa,2025,,
"41020108",Retribusi Penggantian Biaya Cetak Peta,2025,,
"410201080001",Retribusi Penyediaan Peta Dasar (Garis),2025,,
"410201080002",Retribusi Penyediaan Peta Foto,2025,,
"410201080003",Retribusi Penyediaan Peta Digital,2025,,
"410201080004",Retribusi Penyediaan Peta Tematik,2025,,
"410201080005",Retribusi Penyediaan Peta Teknis (Struktur),2025,,
"41020109",Retribusi Penyediaan dan/atau Penyedotan Kakus,2025,,
"410201090001",Retribusi Penyediaan dan/atau Penyedotan Kakus,2025,,
"41020110",Retribusi Pengolahan Limbah Cair,2025,,
"410201100001",Retribusi Rumah Tangga,2025,,
"410201100002",Retribusi Perkantoran,2025,,
"410201100003",Retribusi Industri,2025,,
"41020111",Retribusi Pelayanan Tera/Tera Ulang,2025,,
"410201110001","Retribusi Pelayanan Pengujian Alat-AlatUkur, Takar, Timbang, dan Perlengkapannya",2025,,
"410201110002",Retribusi Pengujian Barang dalam Keadaan Terbungkus,2025,,
"41020112",Retribusi Pelayanan Pendidikan,2025,,
"410201120001",Retribusi Pelayanan Penyelenggaraan Pendidikan Teknis,2025,,
"410201120002",Retribusi Pelayanan Penyelenggaraan Pelatihan Teknis,2025,,
"410201120003",Retribusi Pelayanan Penyelenggaraan Pendidikan dan Pelatihan Teknis,2025,,
"41020113",Retribusi Pengawasan dan Pengendalian Menara Telekomunikasi,2025,,
"410201130001",Retribusi Pengawasan dan Pengendalian Menara Telekomunikasi,2025,,
"410202",Retribusi Jasa Usaha,2025,RJU,"100"
"41020201",Retribusi Pemakaian Kekayaan Daerah,2025,,
"410202010001",Retribusi Penyewaan Tanah dan Bangunan,2025,,
"410202010002",Retribusi Penyewaan Tanah,2025,,
"410202010003",Retribusi Penyewaan Bangunan,2025,,
"410202010004",Retribusi Pemakaian Laboratorium,2025,,
"410202010005",Retribusi Pemakaian Ruangan,2025,,
"410202010006",Retribusi Pemakaian Kendaraan Bermotor,2025,,
"410202010007",Retribusi Pemakaian Alat,2025,,
"41020202",Retribusi Pasar Grosir dan/atau Pertokoan,2025,,
"410202020001",Retribusi Penyediaan Fasilitas Pasar Grosir Berbagai Jenis Barang yang Dikontrakkan,2025,,
"410202020002",Retribusi Penyediaan Fasilitas Pasar/Pertokoan yang Dikontrakkan,2025,,
"41020203",Retribusi Tempat Pelelangan,2025,,
"410202030001",Retribusi Penyediaan Tempat Pelelangan,2025,,
"410202030002",Retribusi Penyediaan Fasilitas Lainnya di Tempat Pelelangan,2025,,
"41020204",Retribusi Terminal,2025,,
"410202040001",Retribusi Pelayanan Penyediaan Tempat Parkir untuk Kendaraan Penumpang dan Bus Umum,2025,,
